"Time","downloadspeed","uploadspeed","packetloss","isp","ExternalIP","InternalIP","UsedServer","location","Jitter","Latency"
"07.04.2023 12:40 +00:00","938,14","941,96","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:40 +00:00","935,38","943,01","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:40 +00:00","935,65","935,06","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:42 +00:00","936,81","942,66","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:43 +00:00","905,52","813,36","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.hringidan.is","Reykjavik","0","1"
"07.04.2023 12:43 +00:00","937,37","933,34","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:44 +00:00","936,46","941,38","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:44 +00:00","934,13","940,8","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest1.nova.is","Reykjavik","0","1"
"07.04.2023 12:47 +00:00","935,56","940,52","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:47 +00:00","907,63","927,59","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.hringidan.is","Reykjavik","0","1"
"07.04.2023 12:47 +00:00","934,07","937,97","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest1.nova.is","Reykjavik","0","1"
"07.04.2023 12:48 +00:00","938,24","940,33","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:48 +00:00","928,74","937,43","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:49 +00:00","934,5","942,71","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"
"07.04.2023 12:49 +00:00","932,9","936,99","0,00%","Mila hf","157.157.x.x","192.168.x.x","speedtest.siminn.is","Reykjavik","0","1"

